image_id,iteration,caption,similarity_to_original,similarity_to_previous,bert_f1,jaccard,length_ratio,vision_embedding_norm,vision_sim_to_original,vision_sim_to_previous,log_prob_original_caption,log_prob_caption_on_original_image,converged,convergence_iteration,attractor_type,error
1,1,"The image depicts a cozy living room with a dining table in the center. The table is surrounded by several chairs, with some placed closer to the table and others further away. A woman is standing near the table, possibly preparing to sit down.

In the room, there is a TV mounted on the wall, and a clock can be seen hanging on the wall as well. A potted plant is placed near the table, adding a touch of greenery to the space. A refrigerator is also visible in the background, indicating that the living room is part of a larger kitchen area.",1.0,1.0,0.9999999403953552,1.0,1.0,17.400012969970703,1.0,1.0,,-12.895281791687012,False,-1,none,
1,2,"The image is a cartoon-like drawing of a living room. In the room, there is a person sitting on a chair, watching television. The television is located on the right side of the room.

The living room is furnished with a couch, a dining table, and several chairs. There are multiple cups and bowls placed on the dining table, as well as a vase and a potted plant. A clock is also visible on the wall, adding to the cozy atmosphere of the room.",0.7644131183624268,0.7644131183624268,0.9116118550300598,0.35,0.8125,17.38081169128418,0.9478711485862732,0.9478711485862732,-13.293479919433594,-13.263437271118164,False,-1,none,
1,3,"The image is a black and white drawing of a living room scene. In the room, there are three people sitting on a couch and a chair. One person is sitting on the couch, while the other two are sitting on a chair. A potted plant is placed in the room, adding a touch of greenery to the space.

The living room is furnished with a TV, which is located on the right side of the room. There are also two vases in the room, one placed on the left side and the other on the right side. A bowl can be seen on the left side of the room, and a bottle is located on the right side.",0.719539999961853,0.7788381576538086,0.8999976515769958,0.29411764705882354,1.0459558823529411,19.69510841369629,0.9534873962402344,0.9602600932121277,-13.288857460021973,-12.715435981750488,False,-1,none,
1,4,"The image depicts a group of people gathered in a living room, sitting on couches and chairs. There are at least six people in the room, with some sitting closer to the foreground and others further back. The living room is furnished with two couches, one on the left side and another on the right side of the room.

There are several potted plants in the room, with one placed near the left couch, another near the right couch, and a third one located in the middle of the room. A vase can also be seen on a surface in the room, adding to the cozy atmosphere.",0.7209804654121399,0.8607171773910522,0.9065067172050476,0.3333333333333333,1.0294117647058822,19.92088508605957,0.9315022826194763,0.9747490882873535,-13.565585136413574,-12.815326690673828,False,-1,none,
1,5,"The image depicts a group of people gathered in a living room, sitting on chairs and couches. There are at least nine people in the room, engaged in conversation and enjoying each other's company. The living room is furnished with a couch, a chair, and a dining table.

In addition to the people, there are several potted plants placed throughout the room, adding a touch of greenery to the space. There are also a few cups and a bowl on the dining table, suggesting that the group might be enjoying a meal or a beverage together.",0.7417781949043274,0.9070155024528503,0.9040893912315369,0.29347826086956524,0.9742647058823529,19.371410369873047,0.9231312274932861,0.977605402469635,-13.56338882446289,-12.908110618591309,False,-1,none,
1,6,"The image depicts a group of people gathered in a living room, sitting on chairs and couches. There are at least nine people in the room, engaged in conversation and enjoying each other's company. The living room is furnished with a couch, a chair, and a dining table.

In addition to the people, there are several potted plants placed throughout the room, adding a touch of greenery to the space. A vase can also be seen on the dining table, further enhancing the room's decor.",0.7555701732635498,0.9769096374511719,0.9110040664672852,0.3372093023255814,0.8786764705882353,19.341716766357422,0.9185323119163513,0.9909957051277161,-13.541864395141602,-13.091464042663574,False,-1,none,
1,7,"The image depicts a group of people gathered in a living room, sitting on couches and chairs. There are five people in total, with some sitting closer to the foreground and others further back in the room. The living room is furnished with two couches, one on the left side and another on the right side, and three chairs, one in the middle and two on the right side.

The room is decorated with several potted plants, with one placed near the left side of the room, another in the middle, and the third one on the right side. There are also two vases, one located near the center of the room and the other on the right side. A book can be seen on the left side of the room, and a cup is placed on a surface in the middle of the room.",0.722800076007843,0.8913207054138184,0.8926316499710083,0.3146067415730337,1.349264705882353,19.079143524169922,0.9241708517074585,0.988285481929779,-13.57773208618164,-12.158080101013184,False,-1,none,
1,8,"The image depicts a group of people gathered in a living room, sitting on chairs and couches. There are at least six people in the room, with some sitting closer to the center and others positioned around the edges. The living room is furnished with a couch, a chair, and a dining table.

Various items can be seen in the room, such as a vase, a clock, and a couple of books. There are also two cups placed on surfaces, and a bowl is located near the center of the room. The overall atmosphere of the scene suggests a casual gathering or a family event.",0.755390465259552,0.8842751979827881,0.9013834595680237,0.3020833333333333,1.0165441176470589,18.520185470581055,0.9401183724403381,0.9567221403121948,-13.297271728515625,-12.82481861114502,False,-1,none,
1,9,"The image is a painting of a group of people gathered in a living room. There are at least 12 people in the scene, sitting and standing around a coffee table. The room is furnished with a couch, a chair, and a dining table.

Various items can be seen on the table, including a book, a cup, and a bowl. There are also a few potted plants placed around the room, adding a touch of greenery to the space. The people in the painting appear to be engaged in conversation or enjoying each other's company.",0.6578366160392761,0.8210000395774841,0.8971483111381531,0.27956989247311825,0.9172794117647058,19.703943252563477,0.9393877983093262,0.9751083850860596,-13.472697257995605,-13.055580139160156,False,-1,none,
1,10,"The image depicts a group of people gathered in a living room, sitting around a coffee table. There are at least nine people in the scene, with some sitting on chairs and others standing. The coffee table is filled with various items, including cups, bowls, and a book. 

In addition to the people and the coffee table, there are several potted plants placed around the room, adding a touch of greenery to the space. A couch can be seen in the background, and a vase is also present in the room. The overall atmosphere appears to be relaxed and social, with the group enjoying each other's company.",0.7404884099960327,0.8516263961791992,0.9105047583580017,0.32978723404255317,1.099264705882353,17.232933044433594,0.9395362734794617,0.9721619486808777,-13.411541938781738,-12.768911361694336,False,-1,none,
