image_id,iteration,caption,similarity_to_original,similarity_to_previous,bert_f1,jaccard,length_ratio,vision_embedding_norm,log_prob_original_caption,converged,convergence_iteration,attractor_type,error
1,1,"The image depicts a cozy living room with a dining table in the center. The table is surrounded by several chairs, with some placed closer to the table and others further away. A woman is standing near the table, possibly preparing to sit down.

In the room, there is a TV mounted on the wall, and a clock can be seen hanging on the wall as well. A potted plant is placed near the table, adding a touch of greenery to the space. A refrigerator is also visible in the background, indicating that the living room is part of a larger kitchen area.",1.0,1.0,0.9999999403953552,1.0,1.0,17.400012969970703,,False,-1,none,
1,2,"The image is a cartoon-like drawing of a living room, featuring a woman sitting on a chair in front of a television. The room is furnished with a couch, a dining table, and several chairs. There are multiple cups and bowls placed on the dining table, as well as a clock hanging on the wall.

In addition to the furniture, the room is decorated with several potted plants, which are scattered throughout the space. There are also a few books and vases placed around the room, adding to the cozy atmosphere.",0.7867154479026794,0.7867154479026794,0.9095243811607361,0.3333333333333333,0.9283088235294118,17.416332244873047,-13.37246036529541,False,-1,none,
1,3,"The image is a black and white drawing of a living room scene. Two women are sitting in the room, with one woman sitting on a couch and the other woman sitting on a chair. They are engaged in conversation, enjoying each other's company.

The living room is furnished with a TV on the right side of the room, a potted plant near the left side, and a vase placed on a surface in the middle of the room. There are also two cups, one on the left side of the room and the other on the right side. A clock can be seen hanging on the wall above the TV.",0.7301003932952881,0.8190981149673462,0.899275541305542,0.2808988764044944,1.0018382352941178,19.133726119995117,-13.398880958557129,False,-1,none,
1,4,"The image is a black and white drawing of a group of four women sitting together in a living room. They are all seated on a couch, with one woman on the left side, another in the middle, and the remaining two on the right side. The women are engaged in conversation, enjoying each other's company.

The living room is furnished with a dining table in the foreground, and a potted plant is placed near the right side of the room. There are also two cups on the table, possibly containing drinks for the women. The scene captures a warm and friendly atmosphere among the group of friends.",0.673632025718689,0.8509915471076965,0.8968153595924377,0.20588235294117646,1.0772058823529411,19.05766487121582,-13.59181022644043,False,-1,none,
1,5,"The image is a black and white drawing of a group of women sitting around a coffee table. They are all smiling and enjoying each other's company. There are five women in total, with one woman sitting on the left side of the table, two women sitting in the middle, and two women sitting on the right side.

The coffee table is adorned with a bowl, a wine glass, and a cup. There are also two potted plants in the scene, one on the left side and the other on the right side of the table. The room features a couch in the background, and a chair is placed near the right side of the table.",0.6638453006744385,0.8574353456497192,0.8901094198226929,0.1875,1.0772058823529411,19.040729522705078,-13.562467575073242,False,-1,none,
1,6,"The image is a black and white drawing of a group of five women sitting around a dining table. They are all smiling and enjoying each other's company. The table is set with various cups, bowls, and a cake, indicating that they are having a meal together.

There are multiple cups placed on the table, with some closer to the women and others further away. A bowl is also visible on the table, along with a cake that is placed towards the right side of the table. The women are seated on chairs, with some chairs closer to the table and others further away.",0.567597508430481,0.8237813711166382,0.8992530107498169,0.24731182795698925,1.0220588235294117,19.244253158569336,-13.520243644714355,False,-1,none,
1,7,"The image is a black and white drawing of a group of women sitting around a dining table, enjoying a meal together. There are at least six women in the scene, with some sitting closer to the table and others further away. They are all smiling and appear to be having a good time.

The table is set with various dishes, including multiple bowls, cups, and a cake. There are also several spoons and a fork placed on the table. The women are seated on chairs, with some chairs positioned closer to the table and others further away. The overall atmosphere of the drawing is warm and inviting, capturing the essence of a shared meal among friends.",0.5984382629394531,0.9375436305999756,0.8923574686050415,0.22115384615384615,1.181985294117647,19.196876525878906,-13.56033992767334,False,-1,none,
1,8,"The image is a black and white drawing of a group of women sitting around a dining table, enjoying a meal together. There are at least 12 women in the scene, with some sitting closer to the table and others further away. The table is filled with various dishes, including multiple bowls, cups, and a wine glass.

The women are engaged in conversation and laughter, creating a warm and inviting atmosphere. The scene captures the essence of a gathering of friends or family, sharing a meal and enjoying each other's company.",0.6092597246170044,0.9492079615592957,0.884153425693512,0.1650485436893204,0.9613970588235294,17.994014739990234,-13.223468780517578,False,-1,none,
1,9,"The image is a black and white drawing of a group of people gathered around a dining table, enjoying a meal together. There are at least 12 people in the scene, with some sitting and others standing around the table. The table is filled with various dishes, including bowls, cups, and wine glasses.

There are multiple wine glasses placed on the table, with some closer to the center and others near the edges. A few cups can also be seen on the table, along with a couple of bowls. The people in the scene are engaged in conversation and enjoying their time together.",0.5854738354682922,0.8545176982879639,0.8941609263420105,0.2553191489361702,1.0441176470588236,17.778926849365234,-13.438030242919922,False,-1,none,
1,10,"The image is a black and white drawing of a large family gathered around a dining table, enjoying a meal together. There are numerous people seated at the table, with some sitting on chairs and others standing. The table is filled with various dishes, including multiple bowls, cups, and wine glasses.

Several bottles are placed on the table, likely containing wine or other beverages. The scene captures the warmth and togetherness of a family meal, with everyone engaged in conversation and enjoying each other's company.",0.6170377731323242,0.8885120153427124,0.8785001635551453,0.17647058823529413,0.9632352941176471,17.294715881347656,-13.507872581481934,False,-1,none,
